Entry	Entry name	Status	Protein names	Organism	Gene names  (primary )	Cross-reference (RefSeq)	Cross-reference (PhosphoSitePlus)
P24898	JUNB_RAT	reviewed	Transcription factor jun-B	Rattus norvegicus (Rat)	Junb	NP_068608.2;	P24898;
O54852	KCNH7_RAT	reviewed	Potassium voltage-gated channel subfamily H member 7 (Ether-a-go-go-related gene potassium channel 3) (ERG-3) (Eag-related protein 3) (Ether-a-go-go-related protein 3) (Voltage-gated potassium channel subunit Kv11.3)	Rattus norvegicus (Rat)	Kcnh7	NP_571987.1;	O54852;
Q7TNJ7	KCC1G_RAT	reviewed	Calcium/calmodulin-dependent protein kinase type 1G (EC 2.7.11.17) (CaM kinase I gamma) (CaM kinase IG) (CaM-KI gamma) (CaMKI gamma) (CaMKIG) (CaMK-like CREB kinase III) (CLICK III)	Rattus norvegicus (Rat)	Camk1g	NP_878262.1 [Q7TNJ7-1];XP_006250532.1 [Q7TNJ7-4];	
P48550	KCNJ6_RAT	reviewed	G protein-activated inward rectifier potassium channel 2 (GIRK-2) (BIR1) (Inward rectifier K(+) channel Kir3.2) (KATP-2) (Potassium channel, inwardly rectifying subfamily J member 6)	Rattus norvegicus (Rat)	Kcnj6	NP_037324.1;	P48550;
D3ZKV9	MSS51_RAT	reviewed	Putative protein MSS51 homolog, mitochondrial (Zinc finger MYND domain-containing protein 17)	Rattus norvegicus (Rat)	Mss51	NP_001099495.1;	
Q4QQS3	OSCP1_RAT	reviewed	Protein OSCP1	Rattus norvegicus (Rat)	Oscp1	NP_001025094.1;	
P97608	OPLA_RAT	reviewed	5-oxoprolinase (EC 3.5.2.9) (5-oxo-L-prolinase) (5-OPase) (Pyroglutamase)	Rattus norvegicus (Rat)	Oplah	NP_446356.1;XP_006241836.1;XP_006241837.1;XP_017450065.1;XP_017450066.1;	P97608;
Q5XIG4	OCAD1_RAT	reviewed	OCIA domain-containing protein 1	Rattus norvegicus (Rat)	Ociad1	NP_001013896.1;	Q5XIG4;
A0A0G2K309	ORNT1_RAT	reviewed	Mitochondrial ornithine transporter 1 (Solute carrier family 25 member 15)	Rattus norvegicus (Rat)	Slc25a15	XP_006253412.1;XP_006253413.1;XP_006253414.1;	
Q9QYJ6	PDE10_RAT	reviewed	cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A (EC 3.1.4.17)	Rattus norvegicus (Rat)	Pde10a	NP_071572.1 [Q9QYJ6-1];	
Q63421	PDE1C_RAT	reviewed	Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1C (Cam-PDE 1C) (3',5'-cyclic-AMP phosphodiesterase) (EC 3.1.4.-) (3',5'-cyclic-GMP phosphodiesterase) (EC 3.1.4.35)	Rattus norvegicus (Rat)	Pde1c	NP_112340.1;	Q63421;
Q63746	IKBA_RAT	reviewed	NF-kappa-B inhibitor alpha (I-kappa-B-alpha) (IkB-alpha) (IkappaBalpha) (RL/IF-1)	Rattus norvegicus (Rat)	Nfkbia	NP_001099190.2;	Q63746;
P41138	ID3_RAT	reviewed	DNA-binding protein inhibitor ID-3 (Inhibitor of DNA binding 3) (Inhibitor of differentiation 3)	Rattus norvegicus (Rat)	Id3	NP_037190.1;	P41138;
Q6P734	IC1_RAT	reviewed	Plasma protease C1 inhibitor (C1 Inh) (C1Inh) (C1 esterase inhibitor) (C1-inhibiting factor) (Serpin G1)	Rattus norvegicus (Rat)	Serping1	NP_954524.1;XP_006234509.1;	
Q63560	MAP6_RAT	reviewed	Microtubule-associated protein 6 (MAP-6) (145-kDa STOP) (STOP145) (Stable tubule-only polypeptide) (STOP)	Rattus norvegicus (Rat)	Map6	NP_058900.1 [Q63560-1];	Q63560;
Q5RKH3	K1143_RAT	reviewed	Uncharacterized protein KIAA1143 homolog	Rattus norvegicus (Rat)		NP_001008330.1;	Q5RKH3;
Q6AYF4	ITB6_RAT	reviewed	Integrin beta-6	Rattus norvegicus (Rat)	Itgb6	NP_001004263.1;XP_006234294.1;XP_006234295.1;	
P17325	JUN_RAT	reviewed	Transcription factor AP-1 (Activator protein 1) (AP1) (Proto-oncogene c-Jun) (V-jun avian sarcoma virus 17 oncogene homolog)	Rattus norvegicus (Rat)	Jun	NP_068607.1;	P17325;
P07335	KCRB_RAT	reviewed	Creatine kinase B-type (EC 2.7.3.2) (B-CK) (Creatine kinase B chain) (Creatine phosphokinase M-type) (CPK-B)	Rattus norvegicus (Rat)	Ckb	NP_036661.3;	P07335;
Q920F3	KHDR2_RAT	reviewed	KH domain-containing, RNA-binding, signal transduction-associated protein 2 (Sam68-like mammalian protein 1) (SLM-1) (rSLM-1)	Rattus norvegicus (Rat)	Khdrbs2	NP_579852.1;	Q920F3;
Q7TSB7	KISS1_RAT	reviewed	Metastasis-suppressor KiSS-1 (Kisspeptin-1) [Cleaved into: Metastin; Kisspeptin-10 (Metastin45-54)]	Rattus norvegicus (Rat)	Kiss1	NP_859043.1;XP_008767665.1;XP_017454186.1;	Q7TSB7;
Q64649	KPB1_RAT	reviewed	Phosphorylase b kinase regulatory subunit alpha, skeletal muscle isoform (Phosphorylase kinase alpha M subunit)	Rattus norvegicus (Rat)	Phka1		Q64649;
Q9QWS8	KCNH8_RAT	reviewed	Potassium voltage-gated channel subfamily H member 8 (Ether-a-go-go-like potassium channel 3) (ELK channel 3) (Voltage-gated potassium channel subunit Kv12.1)	Rattus norvegicus (Rat)	Kcnh8	NP_659563.1;	
Q62976	KCMA1_RAT	reviewed	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (MaxiK) (Slo-alpha) (Slo1) (Slowpoke homolog) (Slo homolog)	Rattus norvegicus (Rat)	Kcnma1	NP_114016.1;	Q62976;
O08876	KLF10_RAT	reviewed	Krueppel-like factor 10 (Transforming growth factor-beta-inducible early growth response protein 1) (TGFB-inducible early growth response protein 1) (TIEG-1) (Zinc finger transcription factor homolog CPG20)	Rattus norvegicus (Rat)	Klf10	NP_112397.1;	
P27791	KAPCA_RAT	reviewed	cAMP-dependent protein kinase catalytic subunit alpha (PKA C-alpha) (EC 2.7.11.11)	Rattus norvegicus (Rat)	Prkaca		P27791;
P38552	LEG4_RAT	reviewed	Galectin-4 (Gal-4) (L-36 lactose-binding protein) (L36LBP) (Lactose-binding lectin 4)	Rattus norvegicus (Rat)	Lgals4	NP_037107.1;	P38552;
P01230	LSHB_RAT	reviewed	Lutropin subunit beta (Lutropin beta chain) (Luteinizing hormone subunit beta) (LH-B) (LSH-B) (LSH-beta)	Rattus norvegicus (Rat)	Lhb	NP_001029147.1;NP_036990.1;	
Q460M5	LRFN2_RAT	reviewed	Leucine-rich repeat and fibronectin type-III domain-containing protein 2	Rattus norvegicus (Rat)	Lrfn2		Q460M5;
Q5PQQ7	LIX1L_RAT	reviewed	LIX1-like protein	Rattus norvegicus (Rat)	Lix1l	NP_001019474.1;	Q5PQQ7;
P51886	LUM_RAT	reviewed	Lumican (Keratan sulfate proteoglycan lumican) (KSPG lumican)	Rattus norvegicus (Rat)	Lum	NP_112312.1;	P51886;
D4ABW7	LYZL4_RAT	reviewed	Lysozyme-like protein 4 (Lysozyme-4)	Rattus norvegicus (Rat)	Lyzl4	NP_001233112.1;XP_006244187.1;	
Q5GF25	MANEA_RAT	reviewed	Glycoprotein endo-alpha-1,2-mannosidase (Endo-alpha mannosidase) (Endomannosidase) (rEndo) (EC 3.2.1.130) (Endo-alpha-D-mannosidase) (Enman)	Rattus norvegicus (Rat)	Manea	NP_542963.2;XP_006238022.1;XP_006238023.1;	
Q6P777	MB12A_RAT	reviewed	Multivesicular body subunit 12A (ESCRT-I complex subunit MVB12A) (Protein FAM125A)	Rattus norvegicus (Rat)	Mvb12a	NP_955407.1;	Q6P777;
Q62940	NEDD4_RAT	reviewed	E3 ubiquitin-protein ligase NEDD4 (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase NEDD4)	Rattus norvegicus (Rat)	Nedd4	NP_037118.1;	Q62940;
Q6AYM7	MAJIN_RAT	reviewed	Membrane-anchored junction protein	Rattus norvegicus (Rat)	Majin	NP_001019462.1;	
Q8K4F2	LX15B_RAT	reviewed	Polyunsaturated fatty acid lipoxygenase ALOX15B (15-lipoxygenase 2) (15-LOX-2) (Arachidonate 15-lipoxygenase B) (15-LOX-B) (EC 1.13.11.33) (Arachidonate 15-lipoxygenase type II) (Linoleate 13-lipoxygenase 15-LOb) (EC 1.13.11.-)	Rattus norvegicus (Rat)	Alox15b	NP_695213.1;	Q8K4F2;
P21555	NPY1R_RAT	reviewed	Neuropeptide Y receptor type 1 (NPY1-R) (FC5)	Rattus norvegicus (Rat)	Npy1r		P21555;
Q71UE8	NEDD8_RAT	reviewed	NEDD8 (Neddylin) (Ubiquitin-like protein NEDD8)	Rattus norvegicus (Rat)	Nedd8	NP_620233.1;	Q71UE8;
P41243	MATK_RAT	reviewed	Megakaryocyte-associated tyrosine-protein kinase (EC 2.7.10.2) (Protein kinase BATK) (Tyrosine-protein kinase CTK)	Rattus norvegicus (Rat)	Matk	NP_068631.1;XP_006241051.1;XP_006241052.1;XP_008763350.1;	P41243;
Q66HH3	LYL1_RAT	reviewed	Protein lyl-1 (Lymphoblastic leukemia-derived sequence 1)	Rattus norvegicus (Rat)	Lyl1	NP_001007678.1;	
P30009	MARCS_RAT	reviewed	Myristoylated alanine-rich C-kinase substrate (MARCKS) (Protein kinase C substrate 80 kDa protein)	Rattus norvegicus (Rat)	Marcks		P30009;
Q63362	NDUA5_RAT	reviewed	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 (Complex I subunit B13) (Complex I-13kD-B) (CI-13kD-B) (NADH-ubiquinone oxidoreductase 13 kDa-B subunit)	Rattus norvegicus (Rat)	Ndufa5	NP_037117.1;	Q63362;
Q62946	MIA_RAT	reviewed	Melanoma-derived growth regulatory protein (Cartilage-derived retinoic acid-sensitive protein) (CD-RAP) (Melanoma inhibitory activity protein)	Rattus norvegicus (Rat)	Mia	NP_110479.1;	
P26284	ODPA_RAT	reviewed	Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial (EC 1.2.4.1) (PDHE1-A type I)	Rattus norvegicus (Rat)	Pdha1		P26284;
Q6QI25	ORML3_RAT	reviewed	ORM1-like protein 3 (Liver regeneration-related protein LRRGT00183)	Rattus norvegicus (Rat)	Ormdl3	NP_001041362.1;XP_006247407.1;XP_006247408.1;	
Q63789	P55G_RAT	reviewed	Phosphatidylinositol 3-kinase regulatory subunit gamma (PI3-kinase regulatory subunit gamma) (PI3K regulatory subunit gamma) (PtdIns-3-kinase regulatory subunit gamma) (Phosphatidylinositol 3-kinase 55 kDa regulatory subunit gamma) (PI3-kinase subunit p55-gamma) (PtdIns-3-kinase regulatory subunit p55-gamma) (p55PIK)	Rattus norvegicus (Rat)	Pik3r3	NP_071549.1;	Q63789;
P32215	PACR_RAT	reviewed	Pituitary adenylate cyclase-activating polypeptide type I receptor (PACAP type I receptor) (PACAP-R-1) (PACAP-R1)	Rattus norvegicus (Rat)	Adcyap1r1	NP_001257508.1 [P32215-1];NP_001257509.1 [P32215-4];NP_001257510.1 [P32215-5];NP_001257511.1 [P32215-5];NP_001257512.1 [P32215-3];NP_598195.1 [P32215-2];XP_017447918.1 [P32215-2];XP_017447919.1 [P32215-2];XP_017447920.1 [P32215-5];	P32215;
Q63737	PHLP_RAT	reviewed	Phosducin-like protein (PHLP)	Rattus norvegicus (Rat)	Pdcl	NP_071583.1 [Q63737-1];	Q63737;
P47824	P2RX1_RAT	reviewed	P2X purinoceptor 1 (P2X1) (ATP receptor) (Purinergic receptor) (RP-2 protein)	Rattus norvegicus (Rat)	P2rx1	NP_001135839.1;NP_001272344.1;NP_037129.1;	P47824;
P04218	OX2G_RAT	reviewed	OX-2 membrane glycoprotein (MRC OX-2 antigen) (CD antigen CD200)	Rattus norvegicus (Rat)	Cd200		
Q9EPI9	KCNH5_RAT	reviewed	Potassium voltage-gated channel subfamily H member 5 (Ether-a-go-go potassium channel 2) (rEAG2) (Voltage-gated potassium channel subunit Kv10.2)	Rattus norvegicus (Rat)	Kcnh5	NP_598294.1;	Q9EPI9;
Q08201	MDR3_RAT	reviewed	Phosphatidylcholine translocator ABCB4 (EC 7.6.2.1) (ATP-binding cassette sub-family B member 4) (Multidrug resistance protein 2) (Multidrug resistance protein 3) (P-glycoprotein 2) (P-glycoprotein 3)	Rattus norvegicus (Rat)	Abcb4	NP_036822.1;	Q08201;
P97521	MCAT_RAT	reviewed	Mitochondrial carnitine/acylcarnitine carrier protein (Carnitine/acylcarnitine translocase) (CAC) (Solute carrier family 25 member 20)	Rattus norvegicus (Rat)	Slc25a20		P97521;
Q9ESQ9	NPVF_RAT	reviewed	Pro-FMRFamide-related neuropeptide VF (FMRFamide-related peptides) [Cleaved into: Neuropeptide NPSF; Neuropeptide RFRP-1; Neuropeptide NPVF (Neuropeptide RFRP-2)]	Rattus norvegicus (Rat)	Npvf	NP_076442.1 [Q9ESQ9-1];	
Q6AY04	MAIP1_RAT	reviewed	m-AAA protease-interacting protein 1, mitochondrial (Matrix AAA peptidase-interacting protein 1)	Rattus norvegicus (Rat)	Maip1	NP_001004251.1;	Q6AY04;
Q2KMM4	LX12B_RAT	reviewed	Arachidonate 12-lipoxygenase, 12R-type (12R-LOX) (12R-lipoxygenase) (EC 1.13.11.-) (Epidermis-type lipoxygenase 12)	Rattus norvegicus (Rat)	Alox12b	NP_001034466.1;	
Q5RKJ1	MAEA_RAT	reviewed	E3 ubiquitin-protein transferase MAEA (EC 2.3.2.27) (Macrophage erythroblast attacher)	Rattus norvegicus (Rat)	Maea	NP_001008320.2;	
P13697	MAOX_RAT	reviewed	NADP-dependent malic enzyme (NADP-ME) (EC 1.1.1.40) (Malic enzyme 1)	Rattus norvegicus (Rat)	Me1		P13697;
P97592	MCPT4_RAT	reviewed	Mast cell protease 4 (rMCP-4) (EC 3.4.21.-) (Mast cell protease IV) (rMCP-IV)	Rattus norvegicus (Rat)	Mcpt4	NP_062194.1;	
P09650	MCPT1_RAT	reviewed	Mast cell protease 1 (rMCP-1) (EC 3.4.21.39) (Chymase) (Chymotrypsin-like protease) (CLIP protein) (Mast cell protease I) (rMCP-I)	Rattus norvegicus (Rat)	Mcpt1	NP_001264597.1;	
O08678	MARK1_RAT	reviewed	Serine/threonine-protein kinase MARK1 (EC 2.7.11.1) (EC 2.7.11.26) (MAP/microtubule affinity-regulating kinase 1)	Rattus norvegicus (Rat)	Mark1	NP_446399.1;	O08678;
Q60I18	MILL1_RAT	reviewed	MHC class I-like protein MILL1 (MHC class I-like located near the leukocyte receptor complex 1)	Rattus norvegicus (Rat)	Mill1	NP_001011931.1;XP_008757128.1;XP_008757129.1;	
Q6XVN8	MLP3A_RAT	reviewed	Microtubule-associated proteins 1A/1B light chain 3A (Autophagy-related protein LC3 A) (Autophagy-related ubiquitin-like modifier LC3 A) (MAP1 light chain 3-like protein 1) (MAP1A/MAP1B light chain 3 A) (MAP1A/MAP1B LC3 A) (Microtubule-associated protein 1 light chain 3 alpha)	Rattus norvegicus (Rat)	Map1lc3a	NP_955794.1;	Q6XVN8;
P48965	MPIP1_RAT	reviewed	M-phase inducer phosphatase 1 (EC 3.1.3.48) (Dual specificity phosphatase Cdc25A)	Rattus norvegicus (Rat)	Cdc25a	NP_598255.1;	P48965;
Q68FX1	MPI_RAT	reviewed	Mannose-6-phosphate isomerase (EC 5.3.1.8) (Phosphohexomutase) (Phosphomannose isomerase) (PMI)	Rattus norvegicus (Rat)	Mpi	NP_001004081.1;	Q68FX1;
O35763	MOES_RAT	reviewed	Moesin (Membrane-organizing extension spike protein)	Rattus norvegicus (Rat)	Msn	NP_110490.1;	O35763;
Q9QX82	MUC24_RAT	reviewed	Sialomucin core protein 24 (MUC-24) (Endolyn) (Multi-glycosylated core protein 24) (MGC-24) (MGC-24v)	Rattus norvegicus (Rat)	Cd164	NP_114000.1;	
O88806	PADI1_RAT	reviewed	Protein-arginine deiminase type-1 (EC 3.5.3.15) (PAD-R11) (Peptidylarginine deiminase I) (Protein-arginine deiminase type I)	Rattus norvegicus (Rat)	Padi1	NP_062205.1;	
Q6DKG0	NAA35_RAT	reviewed	N-alpha-acetyltransferase 35, NatC auxiliary subunit (Corneal wound-healing-related protein) (Embryonic growth-associated protein) (Protein MAK10 homolog)	Rattus norvegicus (Rat)	Naa35	NP_579858.1;XP_006253588.1;	
Q924V1	NOX4_RAT	reviewed	NADPH oxidase 4 (EC 1.6.3.-) (Kidney oxidase-1) (KOX-1) (Kidney superoxide-producing NADPH oxidase)	Rattus norvegicus (Rat)	Nox4	NP_445976.1;	Q924V1;
Q00960	NMDE2_RAT	reviewed	Glutamate receptor ionotropic, NMDA 2B (GluN2B) (Glutamate [NMDA] receptor subunit epsilon-2) (N-methyl D-aspartate receptor subtype 2B) (NMDAR2B) (NR2B)	Rattus norvegicus (Rat)	Grin2b	NP_036706.1;	Q00960;
Q99JA8	NGB_RAT	reviewed	Neuroglobin	Rattus norvegicus (Rat)	Ngb	NP_203523.2;	
D3ZS74	OMA1_RAT	reviewed	Metalloendopeptidase OMA1, mitochondrial (EC 3.4.24.-) (Overlapping with the m-AAA protease 1 homolog)	Rattus norvegicus (Rat)	Oma1	NP_001100139.1;XP_006238537.1;	
P33533	OPRD_RAT	reviewed	Delta-type opioid receptor (D-OR-1) (DOR-1) (Opioid receptor A)	Rattus norvegicus (Rat)	Oprd1	NP_036749.1;	P33533;
P47816	PDCD2_RAT	reviewed	Programmed cell death protein 2 (Zinc finger protein Rp-8)	Rattus norvegicus (Rat)	Pdcd2	NP_113826.1;	
Q9QXU9	PCS1N_RAT	reviewed	ProSAAS (Proprotein convertase subtilisin/kexin type 1 inhibitor) (Proprotein convertase 1 inhibitor) (pro-SAAS) [Cleaved into: KEP; Big SAAS (b-SAAS); Little SAAS (l-SAAS); Big PEN-LEN (b-PEN-LEN) (SAAS CT(1-49)); PEN; PEN-20; Little LEN (l-LEN); Big LEN (b-LEN) (SAAS CT(25-40))]	Rattus norvegicus (Rat)	Pcsk1n	NP_062152.1;	Q9QXU9;
Q6NX65	PDC10_RAT	reviewed	Programmed cell death protein 10	Rattus norvegicus (Rat)	Pdcd10	NP_001009542.1;XP_006232563.1;	
P60571	PANX2_RAT	reviewed	Pannexin-2	Rattus norvegicus (Rat)	Panx2	NP_955441.2;	
Q767I8	PCDA4_RAT	reviewed	Protocadherin alpha-4 (PCDH-alpha-4) (Cadherin-related neuronal receptor 4)	Rattus norvegicus (Rat)	Pcdha4	NP_446385.1 [Q767I8-1];	Q767I8;
Q63312	PHLB1_RAT	reviewed	Pleckstrin homology-like domain family B member 1 (Protein LL5-alpha) (Fragment)	Rattus norvegicus (Rat)	Phldb1		
Q5U2R6	P33MX_RAT	reviewed	Putative monooxygenase p33MONOX (EC 1.-.-.-) (liver regeneration-related protein LRRG011)	Rattus norvegicus (Rat)	P33monox	NP_001014029.1 [Q5U2R6-1];	Q5U2R6;
P04176	PH4H_RAT	reviewed	Phenylalanine-4-hydroxylase (PAH) (EC 1.14.16.1) (Phe-4-monooxygenase)	Rattus norvegicus (Rat)	Pah		P04176;
Q9EP80	PICK1_RAT	reviewed	PRKCA-binding protein (Protein interacting with C kinase 1) (Protein kinase C-alpha-binding protein)	Rattus norvegicus (Rat)	Pick1	NP_445912.1;	Q9EP80;
D3ZZW6	HILS1_RAT	reviewed	Spermatid-specific linker histone H1-like protein	Rattus norvegicus (Rat)	Hils1	NP_001103035.1;	
Q66HH4	HERP2_RAT	reviewed	Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 2 protein	Rattus norvegicus (Rat)	Herpud2	NP_001020159.1;	
Q99P96	HDAC7_RAT	reviewed	Histone deacetylase 7 (HD7) (EC 3.5.1.98) (Histone deacetylase 7A) (HD7a) (Fragment)	Rattus norvegicus (Rat)	Hdac7		
O35878	HSPB2_RAT	reviewed	Heat shock protein beta-2 (HspB2)	Rattus norvegicus (Rat)	Hspb2	NP_569115.1;	O35878;
P20762	IGG2C_RAT	reviewed	Ig gamma-2C chain C region	Rattus norvegicus (Rat)			
Q5U2P2	IGS11_RAT	reviewed	Immunoglobulin superfamily member 11 (IgSF11)	Rattus norvegicus (Rat)	Igsf11	NP_001013138.1;	Q5U2P2;
P01581	IFNG_RAT	reviewed	Interferon gamma (IFN-gamma)	Rattus norvegicus (Rat)	Ifng	NP_620235.1;	
Q6AYB3	ISY1_RAT	reviewed	Pre-mRNA-splicing factor ISY1 homolog	Rattus norvegicus (Rat)	Isy1	NP_001014210.1;	Q6AYB3;
P39069	KAD1_RAT	reviewed	Adenylate kinase isoenzyme 1 (AK 1) (EC 2.7.4.3) (EC 2.7.4.6) (ATP-AMP transphosphorylase 1) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase) (Myokinase)	Rattus norvegicus (Rat)	Ak1	NP_077325.2;	P39069;
P12928	KPYR_RAT	reviewed	Pyruvate kinase PKLR (EC 2.7.1.40) (L-PK) (Pyruvate kinase isozymes L/R)	Rattus norvegicus (Rat)	Pklr	NP_036756.3 [P12928-2];XP_006232655.1 [P12928-1];	P12928;
P09605	KCRS_RAT	reviewed	Creatine kinase S-type, mitochondrial (EC 2.7.3.2) (Basic-type mitochondrial creatine kinase) (Mib-CK) (Sarcomeric mitochondrial creatine kinase) (S-MtCK)	Rattus norvegicus (Rat)	Ckmt2		P09605;
O54853	KCNH6_RAT	reviewed	Potassium voltage-gated channel subfamily H member 6 (Ether-a-go-go-related gene potassium channel 2) (ERG-2) (Eag-related protein 2) (Ether-a-go-go-related protein 2) (Voltage-gated potassium channel subunit Kv11.2)	Rattus norvegicus (Rat)	Kcnh6	NP_446389.1;	O54853;
Q63679	KDM3A_RAT	reviewed	Lysine-specific demethylase 3A (EC 1.14.11.65) (JmjC domain-containing histone demethylation protein 2A) (Jumonji domain-containing protein 1A) (Testis-specific gene A protein) (Zinc finger protein TSGA) ([histone H3]-dimethyl-L-lysine(9) demethylase 3A)	Rattus norvegicus (Rat)	Kdm3a	NP_786940.1;	Q63679;
O88943	KCNQ2_RAT	reviewed	Potassium voltage-gated channel subfamily KQT member 2 (KQT-like 2) (Potassium channel subunit alpha KvLQT2) (Voltage-gated potassium channel subunit Kv7.2)	Rattus norvegicus (Rat)	Kcnq2	NP_579856.1 [O88943-1];	O88943;
P09216	KPCE_RAT	reviewed	Protein kinase C epsilon type (EC 2.7.11.13) (nPKC-epsilon)	Rattus norvegicus (Rat)	Prkce	NP_058867.1;	P09216;
Q63468	KPRA_RAT	reviewed	Phosphoribosyl pyrophosphate synthase-associated protein 1 (PRPP synthase-associated protein 1) (39 kDa phosphoribosypyrophosphate synthase-associated protein) (PAP39)	Rattus norvegicus (Rat)	Prpsap1		
P36198	LHX2_RAT	reviewed	LIM/homeobox protein Lhx2 (Homeobox protein LH-2) (LIM homeobox protein 2)	Rattus norvegicus (Rat)	Lhx2		
B0BMY1	LAAT1_RAT	reviewed	Lysosomal amino acid transporter 1 homolog (PQ-loop repeat-containing protein 2) (Solute carrier family 66 member 1)	Rattus norvegicus (Rat)	Slc66a1	NP_001102159.1;XP_006239301.1;XP_006239302.1;	
P18424	LCAT_RAT	reviewed	Phosphatidylcholine-sterol acyltransferase (EC 2.3.1.43) (1-alkyl-2-acetylglycerophosphocholine esterase) (EC 3.1.1.47) (Lecithin-cholesterol acyltransferase) (Phospholipid-cholesterol acyltransferase) (Platelet-activating factor acetylhydrolase) (PAF acetylhydrolase)	Rattus norvegicus (Rat)	Lcat	NP_058720.2;	
Q66H35	LAS2_RAT	reviewed	Lung adenoma susceptibility protein 2 homolog	Rattus norvegicus (Rat)	Las2	NP_001017462.1;	
P13444	METK1_RAT	reviewed	S-adenosylmethionine synthase isoform type-1 (AdoMet synthase 1) (EC 2.5.1.6) (Methionine adenosyltransferase 1) (MAT 1) (Methionine adenosyltransferase I/III) (MAT-I/III)	Rattus norvegicus (Rat)	Mat1a	NP_036992.2;	P13444;
Q9QYU1	PEX19_RAT	reviewed	Peroxisomal biogenesis factor 19 (Peroxin-19) (Peroxisomal farnesylated protein)	Rattus norvegicus (Rat)	Pex19		Q9QYU1;
P55770	NH2L1_RAT	reviewed	NHP2-like protein 1 (High mobility group-like nuclear protein 2 homolog 1) (OTK27) (U4/U6.U5 small nuclear ribonucleoprotein SNU13) (U4/U6.U5 tri-snRNP 15.5 kDa protein) [Cleaved into: NHP2-like protein 1, N-terminally processed]	Rattus norvegicus (Rat)	Snu13	NP_997680.1;XP_008758813.1;XP_008773113.1;	P55770;
Q56UD9	NPBW1_RAT	reviewed	Neuropeptides B/W receptor type 1 (G-protein coupled receptor 7)	Rattus norvegicus (Rat)	Npbwr1	NP_001014784.1;	Q56UD9;
Q07310	NRX3A_RAT	reviewed	Neurexin-3 (Neurexin III-alpha) (Neurexin-3-alpha)	Rattus norvegicus (Rat)	Nrxn3	NP_446269.2 [Q07310-1];	Q07310;
Q80Z34	NREP_RAT	reviewed	Neuronal regeneration-related protein (Neuronal protein 3.1) (Protein p311)	Rattus norvegicus (Rat)	Nrep	NP_835197.1;XP_006254657.1;	
Q63083	NUCB1_RAT	reviewed	Nucleobindin-1 (Bone 63 kDa calcium-binding protein) (CALNUC)	Rattus norvegicus (Rat)	Nucb1	NP_445915.1;XP_006229227.1;	Q63083;
Q8K4M9	OSBL1_RAT	reviewed	Oxysterol-binding protein-related protein 1 (ORP-1) (OSBP-related protein 1)	Rattus norvegicus (Rat)	Osbpl1a	NP_742020.1;	Q8K4M9;
P08461	ODP2_RAT	reviewed	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial (EC 2.3.1.12) (70 kDa mitochondrial autoantigen of primary biliary cirrhosis) (PBC) (Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex) (Pyruvate dehydrogenase complex component E2) (PDC-E2) (PDCE2)	Rattus norvegicus (Rat)	Dlat	NP_112287.1;	P08461;
Q8R456	OPN4_RAT	reviewed	Melanopsin (Opsin-4)	Rattus norvegicus (Rat)	Opn4	NP_620215.1;XP_017455477.1;XP_017455478.1;	Q8R456;
Q9EQ10	PARI_RAT	reviewed	PCNA-interacting partner (PARI) (Antisense RNA overlapping MCH gene protein) (AROM) (PARP-1 binding protein) (PARP1-binding protein) (PARPBP)	Rattus norvegicus (Rat)	Parpbp	NP_001160148.1 [Q9EQ10-2];XP_006241250.1 [Q9EQ10-1];XP_006241251.1 [Q9EQ10-1];XP_006241252.1 [Q9EQ10-1];	
O35263	PA1B3_RAT	reviewed	Platelet-activating factor acetylhydrolase IB subunit alpha1 (EC 3.1.1.47) (PAF acetylhydrolase 29 kDa subunit) (PAF-AH 29 kDa subunit) (PAF-AH subunit gamma) (PAFAH subunit gamma) (Platelet-activating factor acetylhydrolase alpha 1 subunit) (PAF-AH alpha 1)	Rattus norvegicus (Rat)	Pafah1b3	NP_446106.1;XP_006228427.1;XP_017444141.1;	
Q5EZ72	ENPP7_RAT	reviewed	Ectonucleotide pyrophosphatase/phosphodiesterase family member 7 (E-NPP 7) (NPP-7) (EC 3.1.4.12) (Alkaline sphingomyelin phosphodiesterase) (Intestinal alkaline sphingomyelinase) (Alk-SMase)	Rattus norvegicus (Rat)	Enpp7	NP_001012484.1;	
Q62994	FUT4_RAT	reviewed	Alpha-(1,3)-fucosyltransferase 4 (EC 2.4.1.-) (Fucosyltransferase 4) (Fucosyltransferase IV) (Fuc-TIV) (FucT-IV) (Galactoside 3-L-fucosyltransferase)	Rattus norvegicus (Rat)	Fut4		
